icao24,manufacturername,model,typecode,owner,operatorcallsign,operatoriata
e80469,Boeing,B787-9,B789,Latam Chile,LAN CHILE,LA
e80454,Airbus,A321 211SL,A321,Lan Airlines,LAN,LA
e14c70,Bombardier,Learjet 60,LJ60,Argentine Air Force,FUAER,
e80413,Airbus,A320 233,A320,Latam Chile,LAN CHILE,LA
e8c04f,Boeing,737 3Q8,B733,Peruvian Airlines,,P9
e400ab,Embraer,EMB-170 LR,E170,Empresa Brasileira De Aeronautica,EMBRAER,
e0b146,Boeing,Boeing 737-8U3,B738,Flybondi,,
e80603,Airbus,A320 232,A320,Jat,ROCKSMART,JA
e8c007,Boeing,737 528,B735,Peruvian Air Force,,
e80314,Airbus,A320 233,A320,Sku,AEROSKY,
e8c07d,Boeing,737 530,B735,Peruvian Airlines,,P9
e07598,Bombardier,Learjet 45,LJ45,Corporate Airlink,CORPORATE,
e80320,Airbus,A319 111,A319,Sku,AEROSKY,H2
e0958f,Airbus,A320 232,A320,Jat,ROCKSMART,JA
e481ea,Boeing,727 243F,B722,Total Linhas Aereas,TOTAL,
e40130,Embraer,Phenom 300,E55P,Empresa Brasileira De Aeronautica,EMBRAER,
e49261,Embraer,EMB-190 E2,E190,Empresa Brasileira De Aeronautica,EMBRAER,
e400f7,Embraer,EMB.314 Super Tucano A-29B,E314,Brazilian Air Force,BRAZILIAN AIR FORCE,
e8031d,Airbus,A319 111,A319,Sku,AEROSKY,H2
e8044a,Airbus,A321 211SL,A321,Latam Chile,LAN CHILE,LA
e40050,Embraer,EMB.314 Super Tucano A-29B,E314,Brazilian Air Force,BRAZILIAN AIR FORCE,
e80605,Airbus,A320 200,A320,Jat,ROCKSMART,JA
e80468,Boeing,787-9 Dreamliner,B789,Latam Chile,LAN CHILE,LA
e80608,Airbus,A320 232,A320,Jat,ROCKSMART,JA
e48fc2,Airbus,A320 214SL,A320,Latam Brasil,TAM,JJ
e80319,Airbus,A319 111,A319,Sku,AEROSKY,H2
e03089,Bombardier,Learjet 60,LJ60,Corporate Airlink,CORPORATE,
e80322,Airbus,A319 111,A319,Sku,AEROSKY,H2
e4012f,Embraer,Phenom 300,E55P,Empresa Brasileira De Aeronautica,EMBRAER,
e0218f,Airbus,A320 233,A320,Latam Chile,LAN CHILE,LA
e493d1,Airbus,A320Neo,A20N,Azul Linhas Aéreas Brasileiras,Azul,AD
e4848d,Embraer,Legacy 650,E35L,Empresa Brasileira De Aeronautica,EMBRAER,
e80601,Airbus,A320 232SL,A320,Jat,ROCKSMART,JA
e8cfb9,Bombardier,Learjet 45 XR,LJ45,Peruvian Air Force,,
e8c081,Boeing,737 330,B733,Peruvian Airlines,,P9
e48f80,Embraer,Legacy 450,E545,Empresa Brasileira De Aeronautica,EMBRAER,
e400e3,Embraer,EMB.314 Super Tucano A-29B,E314,Brazilian Air Force,BRAZILIAN AIR FORCE,
e490df,Bombardier,Global Express,GLEX,Balada Eventos E Produções Ltda,,
e803c8,Boeing,737 247,B732,Aerovias Dap,DAP,
e48b01,Boeing,Boeing 737-8EH,B738,Gol Transportes Aéreos,GOL,G3
e490ee,Airbus,A320 214SL,A320,Latam Brasil,TAM,JJ
